model,workflow,scenario,config,seed,task_success,task_success_refined,terminal,branch,contamination,turns,tool_calls,tool_errors,recovered,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,cost_usd,attempted_unknown_field,attempted_inactive_field,attempted_not_complete,admitted_inactive_field,admitted_not_complete,attempted_wrong_kind,attempted_invalid_value,attempted_already_submitted,admitted_wrong_kind,attempted_not_confirmed,admitted_invalid_value,attempted_evidence_missing,admitted_evidence_missing
gemini-3.1-flash-lite,travel_insurance_claim,t4-correction-branch-switch-baggage,C1,0,False,False,none,,4,4,43,1,False,56580,1088,0,0,57668,0.0060932,29,4,1,4,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-correction-branch-switch-baggage,C1,1,False,False,none,,3,4,15,0,False,12448,440,0,0,12888,0.0014208000000000003,3,3,1,3,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-correction-branch-switch-baggage,C1,2,False,False,committed,theft,4,4,27,0,False,27878,776,0,0,28654,0.0030982,10,4,0,4,0,0,2,0,0,0,2,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-digression-return-medical,C1,0,False,False,none,,2,5,40,1,False,51842,1298,0,0,53140,0.005703400000000001,31,2,1,2,1,0,2,0,0,0,2,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-digression-return-medical,C1,1,False,False,none,,1,5,26,0,False,30762,919,0,0,31681,0.0034438000000000003,20,1,1,1,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-digression-return-medical,C1,2,False,False,committed,medical expense,2,5,28,0,False,32572,957,0,0,33529,0.0036400000000000004,17,2,0,2,0,0,2,0,0,0,2,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-duplicate-commit-baggage,C1,0,False,False,none,,0,4,15,0,False,13139,518,0,0,13657,0.0015211,6,0,1,0,1,0,0,1,0,0,0,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-duplicate-commit-baggage,C1,1,False,False,none,,1,4,20,0,False,14649,682,0,0,15331,0.0017377,11,1,1,1,1,0,1,1,0,0,1,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-duplicate-commit-baggage,C1,2,False,False,none,,1,4,13,0,False,10380,512,0,0,10892,0.0012427999999999999,7,1,1,1,1,0,2,0,0,0,2,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-escalate-baggage-no-evidence,C1,0,False,False,none,,0,7,38,1,False,44969,1694,0,0,46663,0.005174500000000001,27,0,0,0,0,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-escalate-baggage-no-evidence,C1,1,False,False,none,,0,7,16,3,False,17124,830,0,0,17954,0.0020444,10,0,0,0,0,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-escalate-baggage-no-evidence,C1,2,False,False,none,,0,7,24,2,False,24663,1064,0,0,25727,0.0028919,14,0,0,0,0,0,4,0,0,0,4,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-happy-medical-evacuation,C1,0,False,False,none,,2,3,24,0,False,23336,686,0,0,24022,0.002608,15,2,1,2,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-happy-medical-evacuation,C1,1,False,False,none,,3,3,19,0,False,21178,561,0,0,21739,0.0023422000000000004,10,3,1,3,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-happy-medical-evacuation,C1,2,False,False,none,,3,3,39,1,False,52773,1116,0,0,53889,0.0057237,26,3,1,3,1,0,2,0,0,0,2,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-happy-medical-expense-inpatient,C1,0,False,False,none,,1,4,20,0,False,14443,660,0,0,15103,0.0017083000000000003,11,1,1,1,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-happy-medical-expense-inpatient,C1,1,False,False,none,,2,4,23,0,False,22543,794,0,0,23337,0.0025719000000000002,14,2,1,2,1,0,3,0,0,0,3,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-happy-medical-expense-inpatient,C1,2,False,False,none,,0,4,22,0,False,24142,796,0,0,24938,0.0027326000000000004,15,0,1,0,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-high-value-extra-docs-medical,C1,0,False,False,none,,3,3,38,1,False,52287,1001,0,0,53288,0.005629100000000001,27,3,1,3,1,0,3,0,0,0,3,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-high-value-extra-docs-medical,C1,1,False,False,none,,3,3,21,0,False,20743,631,0,0,21374,0.0023267,12,3,1,3,1,0,2,0,0,0,2,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-high-value-extra-docs-medical,C1,2,False,False,none,,2,3,38,1,False,51173,969,0,0,52142,0.005504900000000001,24,2,1,2,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-invalid-then-repair-medical,C1,0,False,False,none,,0,4,15,0,False,10705,530,0,0,11235,0.0012825,7,0,1,0,1,0,1,0,0,0,1,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-invalid-then-repair-medical,C1,1,False,False,none,,0,4,15,0,False,10386,511,0,0,10897,0.0012430000000000002,7,0,1,0,1,0,3,0,0,0,3,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-invalid-then-repair-medical,C1,2,False,False,none,,0,4,39,1,False,53810,1136,0,0,54946,0.005835399999999999,30,0,1,0,1,0,2,0,0,0,2,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-misleading-evidence-cancellation-sickness,C1,0,False,False,none,,2,3,13,0,False,7604,504,0,0,8108,0.0009620000000000001,6,2,1,2,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-misleading-evidence-cancellation-sickness,C1,1,False,False,none,,2,3,20,0,False,13263,619,0,0,13882,0.0015739,7,2,1,2,1,0,3,0,0,0,3,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-misleading-evidence-cancellation-sickness,C1,2,False,False,none,,2,3,40,1,False,54069,1092,0,0,55161,0.005843700000000001,30,2,1,2,1,0,2,0,0,0,2,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-out-of-order-cancellation-death,C1,0,False,False,none,,1,5,29,0,False,29697,894,0,0,30591,0.0033273,20,1,1,1,1,0,0,0,0,0,0,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-out-of-order-cancellation-death,C1,1,False,False,none,,3,5,62,2,False,81520,1772,0,0,83292,0.008860799999999999,44,3,1,3,1,0,3,0,0,0,3,0,0
gemini-3.1-flash-lite,travel_insurance_claim,t4-out-of-order-cancellation-death,C1,2,False,False,none,,2,5,41,1,False,49507,1322,0,0,50829,0.005479500000000001,28,2,1,2,1,0,2,0,0,0,2,0,0
