model,workflow,scenario,config,seed,task_success,task_success_refined,terminal,branch,contamination,turns,tool_calls,tool_errors,recovered,input_tokens,output_tokens,cache_read_tokens,cache_write_tokens,total_tokens,cost_usd,attempted_unknown_field,attempted_inactive_field,attempted_not_complete,admitted_inactive_field,admitted_not_complete,attempted_invalid_value,attempted_not_confirmed,attempted_already_submitted,attempted_wrong_kind,admitted_wrong_kind,admitted_invalid_value,attempted_evidence_missing,admitted_evidence_missing,admitted_not_confirmed
claude-haiku-4-5,travel_insurance_claim,t4-correction-branch-switch-baggage,C1,0,False,False,none,,1,4,11,0,False,10232,911,0,0,11143,0.014787,6,1,1,1,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-correction-branch-switch-baggage,C1,1,False,False,none,,2,4,11,0,False,15602,981,0,0,16583,0.020507,5,2,1,2,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-correction-branch-switch-baggage,C1,2,False,False,none,,2,4,11,0,False,13365,1020,0,0,14385,0.018465,5,2,1,2,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-digression-return-medical,C1,0,False,False,none,,1,5,10,0,False,16799,1124,0,0,17923,0.022419,6,1,1,1,1,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-digression-return-medical,C1,1,False,False,none,,1,5,10,0,False,16904,1309,0,0,18213,0.023449,6,1,1,1,1,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-digression-return-medical,C1,2,False,False,none,,1,5,9,0,False,14736,947,0,0,15683,0.019471,5,1,1,1,1,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-duplicate-commit-baggage,C1,0,False,False,none,,0,4,9,0,False,13813,964,0,0,14777,0.018633,5,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-duplicate-commit-baggage,C1,1,False,False,none,,0,4,9,0,False,11620,968,0,0,12588,0.01646,5,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-duplicate-commit-baggage,C1,2,False,False,none,,0,4,9,0,False,11626,891,0,0,12517,0.016081,5,0,1,0,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-escalate-baggage-no-evidence,C1,0,False,False,none,,0,2,5,0,False,5158,673,0,0,5831,0.008523,4,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-escalate-baggage-no-evidence,C1,1,False,False,none,,0,2,6,0,False,5256,746,0,0,6002,0.008986,5,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-escalate-baggage-no-evidence,C1,2,False,False,none,,0,2,7,1,False,6924,847,0,0,7771,0.011159,5,0,0,0,0,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-happy-medical-evacuation,C1,0,False,False,none,,1,3,9,0,False,10129,757,0,0,10886,0.013914,4,1,1,1,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-happy-medical-evacuation,C1,1,False,False,none,,1,3,8,0,False,10040,635,0,0,10675,0.013215,3,1,1,1,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-happy-medical-evacuation,C1,2,False,False,none,,1,3,8,0,False,10040,715,0,0,10755,0.013615,3,1,1,1,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-happy-medical-expense-inpatient,C1,0,False,False,none,,0,4,12,0,False,13517,1099,0,0,14616,0.019012,7,0,1,0,1,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-happy-medical-expense-inpatient,C1,1,False,False,none,,1,4,12,0,False,13535,1027,0,0,14562,0.01867,7,1,1,1,1,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-happy-medical-expense-inpatient,C1,2,False,False,none,,0,4,12,0,False,15226,1101,0,0,16327,0.020731,7,0,1,0,1,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-high-value-extra-docs-medical,C1,0,False,False,none,,2,3,9,0,False,12314,875,0,0,13189,0.016689,4,2,1,2,1,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-high-value-extra-docs-medical,C1,1,False,False,none,,1,3,11,0,False,10299,909,0,0,11208,0.014844,6,1,1,1,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-high-value-extra-docs-medical,C1,2,False,False,none,,1,3,11,0,False,10297,944,0,0,11241,0.015017,6,1,1,1,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-invalid-then-repair-medical,C1,0,False,False,none,,0,4,11,0,False,11832,1020,0,0,12852,0.016932,5,0,1,0,1,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-invalid-then-repair-medical,C1,1,False,False,none,,0,4,11,0,False,11839,1012,0,0,12851,0.016899,4,0,1,0,1,2,0,0,0,0,2,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-invalid-then-repair-medical,C1,2,False,False,none,,0,4,11,0,False,13406,968,0,0,14374,0.018246,4,0,1,0,1,2,0,0,0,0,2,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-misleading-evidence-cancellation-sickness,C1,0,False,False,none,,2,3,13,0,False,15193,1251,0,0,16444,0.021448,5,2,1,2,1,1,0,0,0,0,1,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-misleading-evidence-cancellation-sickness,C1,1,False,False,none,,2,3,11,0,False,10273,936,0,0,11209,0.014953,5,2,1,2,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-misleading-evidence-cancellation-sickness,C1,2,False,False,none,,2,3,10,0,False,8600,810,0,0,9410,0.01265,4,2,1,2,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-out-of-order-cancellation-death,C1,0,False,False,none,,2,5,8,0,False,14628,952,0,0,15580,0.019388,2,2,1,2,1,0,0,0,0,0,0,0,0,0
claude-haiku-4-5,travel_insurance_claim,t4-out-of-order-cancellation-death,C1,1,False,False,none,,2,5,8,0,False,14626,904,0,0,15530,0.019146,2,2,1,2,1,0,0,0,0,0,0,0,0,0
